Abus Vallis,Abus,Mare,Catena
Ituxi Vallis,Malea,,
Ius Chasma,Mamers,,
Jovis Tholus,Mangala,,
Juventae Chasma,Mareotis,,
Kasei Valles,Margaritifer Sinus,,
Labeatis Catenae,Marikh,,
Labeatis Mons,Marineris,,
Labou Vallis,Marte,,
Ladon Valles,Matrona,,
Lethe Vallis,Maumee,,
Libya Montes,Mawrth,,
Licus Vallis,Melas,,
Liris Valles,Memnonia,,
Lobo Vallis,Meridiani,,
Locras Valles,Minio,,
Loire Valles,Morava,,
Louros Valles,Mosa,,
Lucus Planum,Munda,,
Lunae Palus,Naktong,,
Lunae Planum,Nanedi,,
Ma'adim Vallis,Naro,,
Mad Vallis,Nepenthes,,
Maja Valles,Nereidum,,
Malea Planum,Nestus,,
Mamers Valles,Nia,,
Mangala Valles,Nicer,,
Mare Acidalium,Niger,,
Mare Australe,Nirgal,,
Mare Boreum,Noachis,,
Mare Tyrrhenum,Oceanidum,,
Margaritifer Sinus,Ochus,,
Marikh Vallis,Octantis,,
Marte Vallis,Oenotria,,
Matrona Vallis,Oltis,,
Maumee Valles,Olympia,,
Mawrth Vallis,Olympus,,
Melas Chasma,Ophir,,
Memnonia,Osuga,,
Meridiani Planum,Oxia,,
Minio Vallis,Padus,,
Morava Valles,Pallacopas,,
Mosa Vallis,Parana,,
Munda Vallis,Parva,,
N. Mareotis Tholus,Patapsco,,
Naktong Vallis,Pavonis,,
Nanedi Valles,Peace,,
Naro Vallis,Peraea,,
Nepenthes Planum,Phaethontis,,
Nereidum Montes,Phlegethon,,
Nestus Valles,Phlegra,,
Nia Vallis,Phoenicis,,
Nicer Vallis,Pindus,,
Niger Vallis,Promethei,,
Nirgal Vallis,Protva,,
Noachis,Rahway,,
Oceanidum Mons,Ravi,,
Ochus Valles,Ravius,,
Octantis Mons,Reull,,
Oenotria Plana,Rhabon,,
Oltis Valles,Rubicon,,
Olympia Planum,Runa,,
Olympia Undae,Sabis,,
Olympus Mons,Sabrina,,
Ophir Catenae,Samara,,
Ophir Chasma,Scamander,,
Ophir Planum,Scandia,,
Osuga Valles,Senus,,
Oxia Palus,Sepik,,
Padus Vallis,Shalbatana,,
Pallacopas Vallis,Silinka,,
Parana Valles,Simud,,
Parva Planum,Sinai,,
Patapsco Vallis,Sinus Sabaeus,,
Pavonis Chasma,Sisyphi,,
Pavonis Mons,Solis,,
Peace Vallis,Stura,,
Peraea Mons,Stygis,,
Phaethontis,Subur,,
Phlegethon Catena,Sungari,,
Phlegra Montes,Surinda,,
Phoenicis Lacus,Surius,,
Pindus Mons,Syria,,
Planum Angustum,Syrtis,,
Planum Australe,Tader,,
Planum Boreum,Tagus,,
Planum Chronium,Tanaica,,
Promethei Chasma,Tartarus,,
Promethei Planum,Taus,,
Protva Valles,Termes,,
Rahway Valles,Teviot,,
Ravi Vallis,Tharsis,,
Ravius Valles,Thaumasia,,
Reull Vallis,Tigre,,
Rhabon Valles,Tinia,,
Rubicon Valles,Tinjar,,
Runa Vallis,Tinto,,
Sabis Vallis,Tisia,,
Sabrina Vallis,Tithoniae,,
Samara Valles,Tithonium,,
Scamander Vallis,Tiu,,
Scandia Tholi,Tractus,,
Senus Vallis,Trebia,,
Sepik Vallis,Tyras,,
Shalbatana Vallis,Tyrrhena,,
Silinka Vallis,Tyrrhenum,,
Simud Valles,Ultimi,,
Sinai Planum,Ultimum,,
Sinus Sabaeus,Ulysses,,
Sisyphi Montes,Undae,,
Sisyphi Planum,Uranius,,
Solis Planum,Utopia,,
Stura Vallis,Uzboi,,
Stygis Catena,Varus,,
Subur Vallis,Vastitas,,
Sungari Vallis,Vedra,,
Surinda Valles,Verde,,
Surius Vallis,Vichada,,
Syria Mons,Vistula,,
Syria Planum,Waikato,,
Syrtis Major,Walla Walla,,
Syrtis Major Planum,Warrego,,
Tader Valles,Xanthe,,
Tagus Valles,Zarqa,,
Tanaica Montes,Zephyria,,
Tartarus Montes,,,
Taus Vallis,,,
Termes Vallis,,,
Terra Cimmeria,,,
Teviot Vallis,,,
Tharsis,,,
Tharsis Montes,,,
Tharsis Tholus,,,
Thaumasia,,,
Thaumasia Planum,,,
Tigre Valles,,,
Tinia Valles,,,
Tinjar Valles,,,
Tinto Vallis,,,
Tisia Valles,,,
Tithoniae Catenae,,,
Tithonium Chasma,,,
Tiu Valles,,,
Tractus Catena,,,
Trebia Valles,,,
Tyras Vallis,,,
Tyrrhena Mons,,,
Ultimi Scopuli,,,
Ultimum Chasma,,,
Ulysses Patera,,,
Undae,,,
Uranius Tholus,,,
Utopia Planitia,,,
Uzboi Vallis,,,
Valles Marineris,,,
Varus Valles,,,
Vastitas Borealis,,,
Vedra Valles,,,
Verde Vallis,,,
Vichada Valles,,,
Vistula Valles,,,
W. Mareotis Tholus,,,
Waikato Vallis,,,
Walla Walla Vallis,,,
Warrego Valles,,,
Xanthe Montes,,,
Zarqa Valles,,,
Zephyria Planum,,,
Zephyria Tholus,,,
